Adults,Infants,Preschoolers,School-Age,Teenager,Housing,Child Care,Food,Transportation,Health Care,Miscellaneous,Taxes,Earned Income Tax Credit,Child Care Tax Credit,Child Tax Credit,Hourly,Monthly,Annual,Monthly Savings Contribution
1,0,0,0,0,675.44,0,246.32,227.31,157.1,130.62,303.07,0,0,0,9.89,1739.86,20878.33,34.8
1,1,0,0,0,786.49,755.14,365.62,233.79,436.95,257.8,630.18,0,-55,-83.33,18.91,3327.64,39931.64,80.62
1,0,1,0,0,786.49,719.16,373.38,233.79,433.84,254.67,614.64,-4.52,-55,-83.33,18.6,3273.1,39277.25,78.54
1,0,0,1,0,786.49,616.31,443.13,233.79,443.22,252.29,601.9,-12.38,-57.5,-83.33,18.32,3223.92,38687.06,77.04
1,0,0,0,1,786.49,0,467.49,227.31,458.6,193.99,323.31,-176.41,0,-83.33,12.49,2197.45,26369.44,62.31
1,2,0,0,0,786.49,1510.28,482.47,233.79,451.02,346.41,895.15,0,-100,-166.67,25.22,4438.95,53267.38,139.77
1,1,1,0,0,786.49,1474.3,489.88,233.79,447.91,343.24,881.23,0,-100,-166.67,24.94,4390.17,52682.07,137.67
1,1,0,1,0,786.49,1371.45,556.46,233.79,457.29,340.55,871.11,0,-100,-166.67,24.72,4350.47,52205.63,135.96
1,1,0,0,1,786.49,755.14,579.71,233.79,472.67,282.78,574.04,-91.4,-110,-166.67,18.84,3316.56,39798.73,97.51
1,0,2,0,0,786.49,1438.32,497.28,233.79,444.8,340.07,867.32,0,-100,-166.67,24.67,4341.4,52096.76,135.57
1,0,1,1,0,786.49,1335.47,563.86,233.79,454.18,337.38,857.19,0,-100,-166.67,24.44,4301.69,51620.31,133.86
1,0,1,0,1,786.49,719.16,587.11,233.79,469.56,279.61,551.54,-108.04,-115,-166.67,18.4,3237.57,38850.81,95.41
1,0,0,2,0,786.49,1232.62,630.44,233.79,463.56,334.69,847.06,0,-100,-166.67,24.22,4261.99,51143.87,132.15
1,0,0,1,1,786.49,616.31,653.69,233.79,478.94,276.92,536.72,-119.88,-115,-166.67,18.08,3181.32,38175.83,93.7
1,0,0,0,2,786.49,0,676.94,227.31,494.32,218.51,283.88,-328.08,0,-166.67,12.46,2192.71,26312.57,77.51
1,3,0,0,0,1056.35,2265.42,586.61,233.79,465.1,460.73,1292.24,0,-100,-250,34.15,6010.23,72122.76,251.11
1,2,1,0,0,1056.35,2229.44,593.66,233.79,461.99,457.52,1278.15,0,-100,-250,33.87,5960.9,71530.79,248.64
1,2,0,1,0,1056.35,2126.59,657.07,233.79,471.37,454.52,1266.52,0,-100,-250,33.61,5916.21,70994.48,246.4
1,2,0,0,1,1056.35,1510.28,679.22,233.79,486.75,396.64,1009.16,0,-100,-250,28.54,5022.18,60266.11,173.46
1,1,2,0,0,1056.35,2193.46,600.72,233.79,458.87,454.32,1264.07,0,-100,-250,33.59,5911.57,70938.82,246.17
1,1,1,1,0,1056.35,2090.61,664.12,233.79,468.26,451.31,1252.44,0,-100,-250,33.33,5866.88,70402.51,243.93
1,1,1,0,1,1056.35,1474.3,686.27,233.79,483.64,393.43,995.07,0,-100,-250,28.25,4972.85,59674.14,171.34
1,1,0,2,0,1056.35,1987.76,727.53,233.79,477.64,448.31,1240.81,0,-100,-250,33.08,5822.18,69866.2,239
1,1,0,1,1,1056.35,1371.45,749.68,233.79,493.02,390.43,983.44,0,-100,-250,28,4928.15,59137.83,169.41
1,1,0,0,2,1056.35,755.14,771.82,233.79,508.4,332.55,717.96,-0.62,-100,-250,22.87,4025.39,48304.71,130.89
1,0,3,0,0,1056.35,2157.48,607.77,233.79,455.76,451.11,1249.98,0,-100,-250,33.31,5862.24,70346.86,243.7
1,0,2,1,0,1056.35,2054.63,671.17,233.79,465.14,448.11,1238.35,0,-100,-250,33.05,5817.55,69810.55,238.02
1,0,2,0,1,1056.35,1438.32,693.32,233.79,480.52,390.23,980.99,0,-100,-250,27.97,4923.51,59082.17,169.21
1,0,1,2,0,1056.35,1951.78,734.58,233.79,474.53,445.1,1226.73,0,-100,-250,32.8,5772.85,69274.23,228.54
1,0,1,1,1,1056.35,1335.47,756.73,233.79,489.91,387.22,969.36,0,-100,-250,27.72,4878.82,58545.86,167.29
1,0,1,0,2,1056.35,719.16,778.87,233.79,505.29,329.35,721.16,-9.17,-100,-250,22.64,3984.79,47817.49,128.77
1,0,0,3,0,1056.35,1848.93,797.99,233.79,483.91,442.1,1215.1,0,-100,-250,32.55,5728.16,68737.92,219.05
1,0,0,2,1,1056.35,1232.62,820.14,233.79,499.29,384.22,957.73,0,-100,-250,27.47,4834.13,58009.55,165.36
1,0,0,1,2,1056.35,616.31,842.28,233.79,514.67,326.34,718.94,-18.58,-100,-250,22.39,3940.1,47281.17,126.84
1,0,0,0,3,1056.35,0,864.43,227.31,530.05,267.81,408.81,-246.4,0,-250,16.24,2858.36,34300.29,93.17
1,4,0,0,0,1056.35,3020.56,678.04,233.79,479.17,546.79,1689.27,0,-100,-333.33,41.31,7270.64,87247.63,317.86
1,3,1,0,0,1056.35,2984.58,684.74,233.79,476.06,543.55,1666.92,0,-100,-333.33,40.98,7212.65,86551.83,315.36
1,3,0,1,0,1056.35,2881.73,744.98,233.79,485.44,540.23,1645.72,0,-100,-333.33,40.65,7154.91,85858.86,312.87
1,3,0,0,1,1056.35,2265.42,766.02,233.79,500.82,482.24,1277.74,0,-100,-333.33,34.94,6149.04,73788.51,268.01
1,2,2,0,0,1056.35,2948.6,691.44,233.79,472.95,540.31,1644.57,0,-100,-333.33,40.65,7154.67,85856.02,312.86
1,2,1,1,0,1056.35,2845.75,751.68,233.79,482.33,536.99,1623.37,0,-100,-333.33,40.32,7096.92,85163.06,310.38
1,2,1,0,1,1056.35,2229.44,772.71,233.79,497.71,479,1263.49,0,-100,-333.33,34.65,6099.16,73189.88,265.51
1,2,0,2,0,1056.35,2742.9,811.91,233.79,491.71,533.67,1602.18,0,-100,-333.33,40,7039.17,84470.09,307.89
1,2,0,1,1,1056.35,2126.59,832.95,233.79,507.09,475.68,1250.36,0,-100,-333.33,34.37,6049.48,72593.7,263.03
1,2,0,0,2,1056.35,1510.28,853.99,233.79,522.47,417.69,992.47,0,-100,-333.33,29.28,5153.7,61844.42,187.69
1,1,3,0,0,1056.35,2912.62,698.14,233.79,469.84,537.07,1622.22,0,-100,-333.33,40.32,7096.68,85160.22,310.37
1,1,2,1,0,1056.35,2809.77,758.37,233.79,479.22,533.75,1601.02,0,-100,-333.33,39.99,7038.94,84467.25,307.88
1,1,2,0,1,1056.35,2193.46,779.41,233.79,494.6,475.76,1249.24,0,-100,-333.33,34.37,6049.27,72591.26,263.02
1,1,1,2,0,1056.35,2706.92,818.61,233.79,488.6,530.43,1579.83,0,-100,-333.33,39.67,6981.19,83774.29,305.39
1,1,1,1,1,1056.35,2090.61,839.65,233.79,503.98,472.44,1236.11,0,-100,-333.33,34.09,5999.59,71995.07,252.64
1,1,1,0,2,1056.35,1474.3,860.69,233.79,519.36,414.45,978.21,0,-100,-333.33,29,5103.82,61245.79,185.54
1,1,0,3,0,1056.35,2604.07,878.85,233.79,497.98,527.1,1558.63,0,-100,-333.33,39.34,6923.44,83081.32,302.9
1,1,0,2,1,1056.35,1987.76,899.89,233.79,513.36,469.11,1222.98,0,-100,-333.33,33.81,5949.91,71398.89,242.1
1,1,0,1,2,1056.35,1371.45,920.93,233.79,528.74,411.13,965.09,0,-100,-333.33,28.72,5054.13,60649.61,183.4
1,1,0,0,3,1056.35,755.14,941.97,233.79,544.12,353.14,707.19,0,-100,-333.33,23.63,4158.36,49900.32,144.81
1,0,4,0,0,1056.35,2876.64,704.84,233.79,466.72,533.83,1599.87,0,-100,-333.33,39.99,7038.7,84464.41,307.87
1,0,3,1,0,1056.35,2773.79,765.07,233.79,476.11,530.51,1578.67,0,-100,-333.33,39.66,6980.95,83771.45,305.38
1,0,3,0,1,1056.35,2157.48,786.11,233.79,491.49,472.52,1234.98,0,-100,-333.33,34.09,5999.39,71992.63,252.6
1,0,2,2,0,1056.35,2670.94,825.31,233.79,485.49,527.19,1557.48,0,-100,-333.33,39.34,6923.21,83078.48,302.89
1,0,2,1,1,1056.35,2054.63,846.35,233.79,500.87,469.2,1221.86,0,-100,-333.33,33.81,5949.7,71396.45,242.06
1,0,2,0,2,1056.35,1438.32,867.39,233.79,516.25,411.21,963.96,0,-100,-333.33,28.72,5053.93,60647.16,183.4
1,0,1,3,0,1056.35,2568.09,885.55,233.79,494.87,523.86,1536.28,0,-100,-333.33,39.01,6865.46,82385.52,300.4
1,0,1,2,1,1056.35,1951.78,906.59,233.79,510.25,465.88,1208.73,0,-100,-333.33,33.52,5900.02,70800.27,231.52
1,0,1,1,2,1056.35,1335.47,927.63,233.79,525.63,407.89,950.83,0,-100,-333.33,28.43,5004.25,60050.98,181.25
1,0,1,0,3,1056.35,719.16,948.66,233.79,541.01,349.9,692.94,0,-100,-333.33,23.34,4108.47,49301.7,142.66
1,0,0,4,0,1056.35,2465.24,945.79,233.79,504.25,520.54,1515.09,0,-100,-333.33,38.68,6807.71,81692.55,297.91
1,0,0,3,1,1056.35,1848.93,966.82,233.79,519.63,462.55,1195.6,0,-100,-333.33,33.24,5850.34,70204.08,220.98
1,0,0,2,2,1056.35,1232.62,987.86,233.79,535.01,404.56,937.7,0,-100,-333.33,28.15,4954.57,59454.8,179.11
1,0,0,1,3,1056.35,616.31,1008.9,233.79,550.39,346.57,641.32,-2.14,-100,-333.33,22.83,4018.16,48217.94,140.52
1,0,0,0,4,1056.35,0,1029.94,227.31,565.77,287.94,413.78,-208.25,0,-333.33,17.27,3039.51,36474.14,101.49
1,5,0,0,0,1265.94,3775.7,798.8,233.79,493.25,656.75,2270.3,0,-100,-416.67,51.01,8977.85,107734.21,403.15
1,4,1,0,0,1265.94,3739.72,805.5,233.79,490.14,653.51,2247.95,0,-100,-416.67,50.68,8919.87,107038.41,400.65
1,4,0,1,0,1265.94,3636.87,865.74,233.79,499.52,650.18,2226.76,0,-100,-416.67,50.35,8862.12,106345.44,398.16
1,4,0,0,1,1265.94,3020.56,886.78,233.79,514.9,592.2,1823.45,0,-100,-416.67,44.44,7820.93,93851.15,353.3
1,3,2,0,0,1265.94,3703.74,812.2,233.79,487.02,650.27,2225.6,0,-100,-416.67,50.35,8861.88,106342.6,398.15
1,3,1,1,0,1265.94,3600.89,872.44,233.79,496.41,646.95,2204.41,0,-100,-416.67,50.02,8804.14,105649.64,395.67
1,3,1,0,1,1265.94,2984.58,893.47,233.79,511.79,588.96,1801.09,0,-100,-416.67,44.11,7762.95,93155.34,350.8
1,3,0,2,0,1265.94,3498.04,932.67,233.79,505.79,643.62,2183.21,0,-100,-416.67,49.7,8746.39,104956.67,393.18
1,3,0,1,1,1265.94,2881.73,953.71,233.79,521.17,585.63,1779.9,0,-100,-416.67,43.78,7705.2,92462.38,348.32
1,3,0,0,2,1265.94,2265.42,974.75,233.79,536.55,527.64,1370.56,0,-100,-416.67,37.83,6657.98,79895.72,303.45
1,2,3,0,0,1265.94,3667.76,818.9,233.79,483.91,647.03,2203.25,0,-100,-416.67,50.02,8803.9,105646.8,395.66
1,2,2,1,0,1265.94,3564.91,879.13,233.79,493.29,643.71,2182.06,0,-100,-416.67,49.69,8746.15,104953.83,393.17
1,2,2,0,1,1265.94,2948.6,900.17,233.79,508.67,585.72,1778.74,0,-100,-416.67,43.78,7704.96,92459.54,348.31
1,2,1,2,0,1265.94,3462.06,939.37,233.79,502.68,640.38,2160.86,0,-100,-416.67,49.37,8688.41,104260.87,390.68
1,2,1,1,1,1265.94,2845.75,960.41,233.79,518.06,582.39,1757.55,0,-100,-416.67,43.45,7647.21,91766.57,345.82
1,2,1,0,2,1265.94,2229.44,981.45,233.79,533.44,524.4,1356.31,0,-100,-416.67,37.55,6608.09,79297.1,300.96
1,2,0,3,0,1265.94,3359.21,999.61,233.79,512.06,637.06,2139.67,0,-100,-416.67,49.04,8630.66,103567.9,388.19
1,2,0,2,1,1265.94,2742.9,1020.65,233.79,527.44,579.07,1736.36,0,-100,-416.67,43.12,7589.47,91073.61,343.33
1,2,0,1,2,1265.94,2126.59,1041.69,233.79,542.82,521.08,1343.18,0,-100,-416.67,37.26,6558.41,78700.91,298.47
1,2,0,0,3,1265.94,1510.28,1062.72,233.79,558.2,463.09,1085.29,0,-100,-416.67,32.17,5662.64,67951.63,218.19
1,1,4,0,0,1265.94,3631.78,825.59,233.79,480.8,643.79,2180.9,0,-100,-416.67,49.69,8745.92,104950.99,393.16
1,1,3,1,0,1265.94,3528.93,885.83,233.79,490.18,640.47,2159.71,0,-100,-416.67,49.36,8688.17,104258.03,390.67
