Adults,Children,Housing,Child Care,Food,Transportation,Health Care,Miscellaneous,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly,Monthly,Annual,Monthly Savings Contribution
1,7,1455.83,3397.75,1327.65,233.79,576.93,699.19,2205.35,0,-100,-583.33,52.35,9213.16,110557.91,436.75
1,8,1455.83,3883.14,1490.92,233.79,598.94,766.26,2488.97,0,-100,-666.67,57.68,10151.19,121814.26,488.9
1,9,1645.72,4368.54,1654.2,233.79,620.95,852.32,2904.88,0,-100,-750,64.95,11430.39,137164.65,555.75
1,10,1645.72,4853.93,1817.47,233.79,642.96,919.39,3188.5,0,-100,-833.33,70.28,12368.42,148420.99,607.89
2,7,1455.83,3397.75,1541.08,445.35,632.39,747.24,2035.77,0,-100,-583.33,27.19,9572.07,114864.82,183.93
2,8,1455.83,3883.14,1704.36,445.35,654.39,814.31,2235.52,0,-100,-666.67,29.62,10426.22,125114.69,210.01
2,9,1645.72,4368.54,1867.63,445.35,676.4,900.36,2597.52,0,-100,-750,33.1,11651.51,139818.12,243.43
2,10,1645.72,4853.93,2030.9,445.35,698.41,967.43,2881.14,0,-100,-833.33,35.77,12589.54,151074.46,269.5
3,7,1645.72,3397.75,2337.44,445.35,687.84,851.41,2512.59,0,-100,-583.33,31.8,11194.75,134336.98,224.81
3,8,1645.72,3883.14,2500.71,445.35,709.85,918.48,2796.21,0,-100,-666.67,34.47,12132.78,145593.32,250.88
3,9,1835.61,4368.54,2663.98,445.35,731.85,1004.53,3212.12,0,-100,-750,38.1,13411.98,160943.71,284.31
3,10,1835.61,4853.93,2827.25,445.35,753.86,1071.6,3495.74,0,-100,-833.33,40.77,14350,172200.06,310.38
4,0,786.49,0,1769.67,438.87,589.23,358.43,933.63,0,0,0,13.85,4876.32,58515.86,46.86
4,1,1056.35,485.39,1853.53,445.35,611.24,445.19,1187.46,0,-50,-83.33,16.91,5951.17,71414.08,59.59
4,2,1056.35,970.79,2025.88,445.35,633.25,513.16,1360.04,0,-100,-166.67,19.14,6738.13,80857.59,80.59
4,3,1265.94,1456.18,2082.52,445.35,655.25,590.52,1591.06,0,-100,-250,21.98,7736.82,92841.86,106.38
4,4,1265.94,1941.57,2245.8,445.35,677.26,657.59,1825.72,0,-100,-333.33,24.51,8625.89,103510.73,128.81
4,5,1455.83,2426.96,2409.07,445.35,699.27,743.65,2110.11,0,-100,-416.67,27.77,9773.57,117282.85,183.15
4,6,1455.83,2912.36,2572.34,445.35,721.28,810.72,2309.86,0,-100,-500,30.19,10627.73,127532.73,209.22
4,7,1645.72,3397.75,2735.61,445.35,743.29,896.77,2704.57,0,-100,-583.33,33.77,11885.72,142628.69,242.65
4,8,1645.72,3883.14,2898.89,445.35,765.3,963.84,2988.19,0,-100,-666.67,36.43,12823.75,153885.03,268.72
4,9,1835.61,4368.54,3062.16,445.35,787.31,1049.9,3404.1,0,-100,-750,40.07,14102.95,169235.42,302.14
4,10,1835.61,4853.93,3225.43,445.35,809.31,1116.96,3687.72,0,-100,-833.33,42.73,15040.98,180491.77,328.22
5,0,1056.35,0,2101.49,438.87,644.68,424.14,1165.1,0,0,0,16.56,5830.62,69967.46,54.55
5,1,1265.94,485.39,2273.83,445.35,666.69,513.72,1433.98,0,-50,-83.33,19.75,6951.56,83418.69,80.92
5,2,1265.94,970.79,2317.43,445.35,688.7,568.82,1545.57,0,-100,-166.67,21.41,7535.91,90430.95,99.3
5,3,1455.83,1456.18,2480.7,445.35,710.71,654.88,1853.24,0,-100,-250,24.74,8706.87,104482.4,128.05
5,4,1455.83,1941.57,2643.97,445.35,732.71,721.94,2052.98,0,-100,-333.33,27.16,9561.02,114732.27,150.48
5,5,1645.72,2426.96,2807.24,445.35,754.72,808,2337.37,0,-100,-416.67,30.42,10708.7,128504.4,208.34
5,6,1645.72,2912.36,2970.52,445.35,776.73,875.07,2612.94,0,-100,-500,33.06,11638.67,139664.05,234.41
5,7,1835.61,3397.75,3133.79,445.35,798.74,961.12,3028.85,0,-100,-583.33,36.7,12917.87,155014.44,267.83
5,8,1835.61,3883.14,3297.06,445.35,820.75,1028.19,3312.47,0,-100,-666.67,39.36,13855.9,166270.79,293.91
5,9,2025.5,4368.54,3460.33,445.35,842.76,1114.25,3728.38,0,-100,-750,43,15135.1,181621.18,327.33
